"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"UF",2028-10-01,2025-06-24,1.5,2.24,"LP"
"UF",2035-03-01,2025-06-24,1.5,2.67,"LP"
"CLP",2029-10-01,2025-06-26,50000,5.36,"LP"
"CLP",2033-04-01,2025-06-26,50000,5.7,"LP"
"UF",2030-09-01,2025-06-26,1.5,2.52,"CP"
"UF",2055-11-01,2025-06-26,1.15,2.68,"LP"
"CLP",2027-05-06,2025-07-01,60000,4.77,"LP"
"UF",2028-10-01,2025-07-01,1.5,2.33,"LP"
"UF",2035-03-01,2025-07-01,1.5,2.66,"LP"
"UF",2055-11-01,2025-07-01,0.7,2.65,"LP"
"CLP",2056-04-01,2025-07-03,25000,5.79,"LP"
"UF",2030-09-01,2025-07-03,1.3,2.55,"CP"
"CLP",2027-05-06,2025-07-10,60000,4.74,"LP"
"UF",2028-10-01,2025-07-10,1,2.4,"LP"
"UF",2035-03-01,2025-07-10,1.5,2.69,"LP"
"UF",2030-09-01,2025-07-17,1.3,2.52,"CP"
"UF",2055-11-01,2025-07-17,1,2.7,"LP"
"CLP",2027-05-06,2025-07-22,60000,4.76,"LP"
"CLP",2056-04-01,2025-07-22,NA,NA,"LP"
"UF",2028-10-01,2025-07-22,1.5,2.21,"LP"
"UF",2030-09-01,2025-07-24,1.3,2.37,"CP"
"UF",2055-11-01,2025-07-24,0.9,2.7,"LP"
"CLP",2027-05-06,2025-07-31,NA,NA,"LP"
"CLP",2056-04-01,2025-07-31,28600,5.72,"LP"
"UF",2028-10-01,2025-07-31,1.5,2.16,"LP"
"UF",2030-09-01,2025-08-05,1.3,2.1,"CP"
"UF",2055-11-01,2025-08-05,0.8,2.63,"LP"
"CLP",2027-05-06,2025-08-07,50000,4.73,"LP"
"CLP",2056-04-01,2025-08-07,28600,5.73,"LP"
"UF",2028-10-01,2025-08-07,1.5,1.94,"LP"
"UF",2030-09-01,2025-08-13,1.35,2.11,"CP"
"UF",2055-11-01,2025-08-13,0.8,2.56,"LP"
"CLP",2056-04-01,2025-08-19,30000,5.72,"LP"
"UF",2028-10-01,2025-08-19,1.5,2.08,"LP"
"CLP",2026-08-26,2025-08-21,350000,4.44,"LP"
"CLP",2027-05-06,2025-08-21,50000,4.7,"LP"
"UF",2030-09-01,2025-08-21,1.5,2.34,"CP"
"UF",2055-11-01,2025-08-21,0.9,2.65,"LP"
"CLP",2035-03-01,2025-08-26,40000,5.65,"LP"
"CLP",2056-04-01,2025-08-26,24200,5.74,"LP"
"UF",2028-10-01,2025-08-26,1.5,2.15,"LP"
"CLP",2026-08-26,2025-08-28,3e+05,4.41,"CP"
"CLP",2027-05-06,2025-08-28,50000,4.69,"LP"
"UF",2030-09-01,2025-08-28,1.5,2.26,"CP"
"UF",2055-11-01,2025-08-28,0.9,2.63,"LP"
"CLP",2035-03-01,2025-09-02,40000,5.7,"LP"
"UF",2028-10-01,2025-09-02,1.5,2.16,"LP"
"CLP",2026-08-26,2025-09-04,250000,4.44,"CP"
"CLP",2027-05-06,2025-09-04,50000,4.67,"LP"
"CLP",2056-04-01,2025-09-04,NA,NA,"LP"
"UF",2030-09-01,2025-09-04,1.5,2.28,"CP"
"UF",2055-11-01,2025-09-04,0.9,2.66,"LP"
"CLP",2035-03-01,2025-09-10,40000,5.71,"LP"
"UF",2028-10-01,2025-09-10,1.5,2.19,"LP"
"CLP",2026-07-24,2025-09-25,250000,4.5,"CP"
"CLP",2027-05-06,2025-09-25,50000,4.56,"LP"
"CLP",2035-03-01,2025-09-25,40000,5.57,"LP"
"UF",2028-10-01,2025-09-25,1.5,2.13,"LP"
"UF",2055-11-01,2025-09-25,0.9,2.5,"LP"
"CLP",2026-10-26,2025-10-01,3e+05,4.47,"LP"
"CLP",2033-04-01,2025-10-01,60000,5.61,"LP"
"CLP",2056-04-01,2025-10-01,NA,NA,"LP"
"UF",2030-09-01,2025-10-01,1.5,2.22,"CP"
"CLP",2026-07-24,2025-10-07,350000,4.54,"CP"
"CLP",2035-03-01,2025-10-07,40000,5.61,"LP"
"UF",2028-10-01,2025-10-07,1.5,2,"LP"
"UF",2055-11-01,2025-10-07,0.88,2.47,"LP"
"CLP",2033-04-01,2025-10-09,60000,5.6,"LP"
"CLP",2056-04-01,2025-10-09,25000,5.72,"LP"
"UF",2030-09-01,2025-10-09,1.5,2.23,"CP"
"CLP",2026-07-24,2025-10-14,270000,4.45,"CP"
"CLP",2035-03-01,2025-10-14,40000,5.6,"LP"
"UF",2028-10-01,2025-10-14,1.5,1.97,"LP"
"UF",2055-11-01,2025-10-14,0.9,2.45,"LP"
"CLP",2033-04-01,2025-10-16,60000,5.59,"LP"
"CLP",2056-04-01,2025-10-16,25000,5.73,"LP"
"UF",2030-09-01,2025-10-16,1.5,2.23,"CP"
"CLP",2026-10-26,2025-10-21,3e+05,4.4,"LP"
"CLP",2035-03-01,2025-10-21,40000,5.59,"LP"
"UF",2028-10-01,2025-10-21,1.5,2.03,"LP"
"UF",2055-11-01,2025-10-21,0.86,2.46,"LP"
"CLP",2033-04-01,2025-10-23,60000,5.59,"LP"
"CLP",2056-04-01,2025-10-23,19000,5.76,"LP"
"UF",2030-09-01,2025-10-23,1.5,2.24,"CP"
"CLP",2026-10-26,2025-10-30,2e+05,4.45,"CP"
"CLP",2035-03-01,2025-10-30,40000,5.56,"LP"
"UF",2028-10-01,2025-10-30,1.5,2.09,"LP"
"UF",2055-11-01,2025-10-30,0.88,2.45,"LP"
